status,local_folder,drive_folder,year,file,drive_id,createdTime,modifiedTime,size,webViewLink
replaced_2026-05-06,Na Entrega,Na Entrega,2026,01-04-2026.xlsx,1UeJuRQHjQy1CQ0lpkMExa559uWc__Jwx,2026-04-07T18:34:57.192Z,2026-05-06T06:07:07.938Z,6632,https://docs.google.com/spreadsheets/d/1UeJuRQHjQy1CQ0lpkMExa559uWc__Jwx/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Na Entrega,Na Entrega,2026,02-04-2026.xlsx,153cJYAwyFAYEx76m7pOL-nGiWVRUejUI,2026-04-07T18:34:59.669Z,2026-05-06T06:07:11.425Z,5186,https://docs.google.com/spreadsheets/d/153cJYAwyFAYEx76m7pOL-nGiWVRUejUI/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Na Entrega,Na Entrega,2026,04-04-2026.xlsx,1QE5_cx2Sw-GO_HnnS2dGH-b6yVFqx8Hr,2026-04-07T18:35:02.137Z,2026-05-06T06:07:14.307Z,7400,https://docs.google.com/spreadsheets/d/1QE5_cx2Sw-GO_HnnS2dGH-b6yVFqx8Hr/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Na Entrega,Na Entrega,2026,10-04-2026.xlsx,1QkJv7HdWFB3K3022OoWuVrJTyNnNmJlw,2026-04-11T06:10:19.613Z,2026-05-06T06:07:17.213Z,5119,https://docs.google.com/spreadsheets/d/1QkJv7HdWFB3K3022OoWuVrJTyNnNmJlw/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Na Entrega,Na Entrega,2026,14-04-2026.xlsx,1w8PDxrpTtYqyP-bxd5hZBOCYIoU0JY3q,2026-04-15T06:10:26.522Z,2026-05-06T06:07:20.169Z,5133,https://docs.google.com/spreadsheets/d/1w8PDxrpTtYqyP-bxd5hZBOCYIoU0JY3q/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Na Entrega,Na Entrega,2026,15-04-2026.xlsx,1Cyid74cVQ8sPoy553gu8YJzMlqox9eHY,2026-04-16T06:06:41.429Z,2026-05-06T06:07:22.986Z,5133,https://docs.google.com/spreadsheets/d/1Cyid74cVQ8sPoy553gu8YJzMlqox9eHY/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Na Entrega,Na Entrega,2026,18-04-2026.xlsx,1gPLey4rI0nMWIFyhUbs6B6w6I_eT87OJ,2026-04-19T06:06:56.972Z,2026-05-06T06:07:25.927Z,5224,https://docs.google.com/spreadsheets/d/1gPLey4rI0nMWIFyhUbs6B6w6I_eT87OJ/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Na Entrega,Na Entrega,2026,24-04-2026.xlsx,1CCxBXOyAThGcTs_2qYurmco4u45PtyPd,2026-04-25T06:06:38.980Z,2026-05-06T06:07:28.739Z,5396,https://docs.google.com/spreadsheets/d/1CCxBXOyAThGcTs_2qYurmco4u45PtyPd/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Pedidos Entregues,Pedidos Entregues,2026,01-04-2026.xlsx,16pW9trlNgwKzwm8FxrRo8ck2AVT9Kt2X,2026-04-07T18:35:04.648Z,2026-05-06T06:07:31.563Z,15762,https://docs.google.com/spreadsheets/d/16pW9trlNgwKzwm8FxrRo8ck2AVT9Kt2X/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Pedidos Entregues,Pedidos Entregues,2026,01-05-2026.xlsx,17vMdL3_WRdCSDRV4AuA19jFtkGIJ7iKC,2026-05-03T06:07:20.125Z,2026-05-06T06:07:34.667Z,9038,https://docs.google.com/spreadsheets/d/17vMdL3_WRdCSDRV4AuA19jFtkGIJ7iKC/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Pedidos Entregues,Pedidos Entregues,2026,02-05-2026.xlsx,12YSll5TVXsJ7Z3IwjjHrRmz3yllz5lLB,2026-05-04T06:07:35.988Z,2026-05-06T06:07:37.651Z,19063,https://docs.google.com/spreadsheets/d/12YSll5TVXsJ7Z3IwjjHrRmz3yllz5lLB/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Pedidos Entregues,Pedidos Entregues,2026,03-04-2026.xlsx,1A6Q4lhvpNGVnNTo9paMuvMwKzq9kwbdD,2026-04-07T18:35:07.270Z,2026-05-06T06:07:40.857Z,23378,https://docs.google.com/spreadsheets/d/1A6Q4lhvpNGVnNTo9paMuvMwKzq9kwbdD/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Pedidos Entregues,Pedidos Entregues,2026,03-05-2026.xlsx,1mPPEcB_b9z9xsT6P4b9Bee_zAA0eyqF6,2026-05-05T06:07:35.341Z,2026-05-06T06:07:43.721Z,18181,https://docs.google.com/spreadsheets/d/1mPPEcB_b9z9xsT6P4b9Bee_zAA0eyqF6/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Pedidos Entregues,Pedidos Entregues,2026,04-04-2026.xlsx,1Xt3beUrbEmjD_Px4pE0fkpUEVqKbU2G9,2026-04-07T18:35:09.909Z,2026-05-06T06:07:46.464Z,30239,https://docs.google.com/spreadsheets/d/1Xt3beUrbEmjD_Px4pE0fkpUEVqKbU2G9/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
uploaded_2026-05-06,Pedidos Entregues,Pedidos Entregues,2026,04-05-2026.xlsx,1d9Cst6Cpl1KsRzuRZRo3t9shZcGuqi_0,2026-05-06T06:07:49.369Z,2026-05-06T06:07:49.369Z,11897,https://docs.google.com/spreadsheets/d/1d9Cst6Cpl1KsRzuRZRo3t9shZcGuqi_0/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Pedidos Entregues,Pedidos Entregues,2026,05-04-2026.xlsx,1ee5NIFd3xZ-DKb352QefHpV0SSchAOiO,2026-04-07T18:35:12.308Z,2026-05-06T06:07:52.206Z,23666,https://docs.google.com/spreadsheets/d/1ee5NIFd3xZ-DKb352QefHpV0SSchAOiO/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Pedidos Entregues,Pedidos Entregues,2026,06-04-2026.xlsx,1CRso8MMYIUlhdxwqzJpivTK36joVBqLc,2026-04-07T18:35:14.988Z,2026-05-06T06:07:55.354Z,11259,https://docs.google.com/spreadsheets/d/1CRso8MMYIUlhdxwqzJpivTK36joVBqLc/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Pedidos Entregues,Pedidos Entregues,2026,07-04-2026.xlsx,1516y1Z0cq8NE3HFzJ81Sk7z4nzXBrTB5,2026-04-10T06:08:37.035Z,2026-05-06T06:07:58.279Z,11371,https://docs.google.com/spreadsheets/d/1516y1Z0cq8NE3HFzJ81Sk7z4nzXBrTB5/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Pedidos Entregues,Pedidos Entregues,2026,08-04-2026.xlsx,14mEQSB9CmY2MxjvcR4yURn1LK8CqwAus,2026-04-10T06:08:40.109Z,2026-05-06T06:08:01.208Z,11942,https://docs.google.com/spreadsheets/d/14mEQSB9CmY2MxjvcR4yURn1LK8CqwAus/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
replaced_2026-05-06,Pedidos Entregues,Pedidos Entregues,2026,09-04-2026.xlsx,1clJIiJ78QwMXcB7RXp1zWNUHXURaD06Q,2026-04-11T06:10:41.484Z,2026-05-06T06:08:04.031Z,12001,https://docs.google.com/spreadsheets/d/1clJIiJ78QwMXcB7RXp1zWNUHXURaD06Q/edit?usp=drivesdk&ouid=116070830454008909816&rtpof=true&sd=true
