Tipo;Data Compra;Produto;Qtd;Valor Item;Total Pack;Forma Pagamento;Cartão;Parcelas;Data Entrega;Link Pedido / Nota Fiscal
Compra;13/03/2026;Pote Quadrado Descartável Bolo No Pote 220ml Com Lacre 100un Transparente;1;R$ 108,29;R$ 108,29;Mastercard;**** 5538;À vista;14/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015530844552/status?orderId=2000015530844552
Compra;13/03/2026;Fonte Nova Para Impressora Térmica Bematech Mp-4200th;1;R$ 55,89;R$ 55,89;Mastercard;**** 5538;À vista;14/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015530893098/status?orderId=2000015530893098
Compra;13/03/2026;Guardanapo Grand Hotel Pequeno Scott Kimberly Clark C/ 200fl Branco;10;R$ 213,10;R$ 213,10;Saldo ML;-;À vista;17/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012018095631/status?packId=2000012018095633&orderId=2000015535162534
Compra;17/03/2026;Rolo Acetato Transparente 7cm 142m Planeta Confeiteiro;1;R$ 158,63;R$ 158,63;Saldo ML;-;À vista;19/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012079154095/status?packId=2000012079154097&orderId=2000015587644348
Compra;17/03/2026;Rolo Acetato Transparente 7cm 142m Planeta Confeiteiro;1;R$ 158,63;R$ 158,63;Saldo ML;-;À vista;19/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012079154097/status?packId=2000012079154099&orderId=2000015587650058
Compra;17/03/2026;Rodo Vedador Para Porta Protege Contra Sujeira, Água Alumínio 90cm;1;R$ 19,00;R$ 19,00;Mastercard;**** 5538;À vista;21/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015589636716/status?orderId=2000015589636716
Compra;17/03/2026;Forma Alumínio Ballerine Coelho Correndo 20x18x5cm 1518 Capa;4;R$ 241,40;R$ 241,40;Saldo ML;-;À vista;21/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012086397135/status?packId=2000012086397137&orderId=2000015593800184
Compra;17/03/2026;10 Caixas Vitrine M  Bolos Doces Confeitaria Cupcake Branco;20;R$ 976,00;R$ 976,00;Saldo ML;-;À vista;19/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012086564827/status?packId=2000012086564829&orderId=2000015593945454
Compra;17/03/2026;Forma Ballerine Coelho Correndo Pascoa 20x18x5cm - 1 Unidade Cinza;5;R$ 190,00;R$ 190,00;Saldo ML;-;À vista;20/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012086589915/status?packId=2000012086589917&orderId=2000015593955506
Compra;17/03/2026;Forma Ballerine Coelho Correndo Páscoa 20x18x5cm Alumínio Cinza;1;R$ 48,90;R$ 48,90;Mastercard;**** 5538;À vista;20/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015593956798/status?orderId=2000015593956798
Compra;17/03/2026;Forma Alumínio Ballerine Coelho Correndo 20x18x5cm 1518 Capa;1;R$ 60,35;R$ 60,35;Mastercard;**** 5538;À vista;21/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015594042948/status?orderId=2000015594042948
Compra;17/03/2026;Mesa Dobrável 2 Metros Áreas Internas E Externas;1;R$ 694,28;R$ 694,28;Saldo ML;-;À vista;27/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012087030151/status?packId=2000012087030153&orderId=2000015594339042
