Data Compra;Pedido ID;Pack ID;Produto(s);Qtd Itens;Valor Bruto Pedido;Valor Pago;Status Pedido;Forma Pagamento;Parcelas;Entrega;Link Pedido
13/03/2026;2000015530844552;;Pote Quadrado Descartável Bolo No Pote 220ml Com Lacre 100un Transparente;1;R$ 108,29;R$ 108,29;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015530844552/status?orderId=2000015530844552
13/03/2026;2000015530893098;;Fonte Nova Para Impressora Térmica Bematech Mp-4200th;1;R$ 55,89;R$ 55,89;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015530893098/status?orderId=2000015530893098
13/03/2026;2000015535162534;2000012018095633;Guardanapo Grand Hotel Pequeno Scott Kimberly Clark C/ 200fl Branco;10;R$ 213,10;R$ 213,10;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012018095631/status?packId=2000012018095633&orderId=2000015535162534
17/03/2026;2000015587650058;2000012079154099;Rolo Acetato Transparente 7cm 142m Planeta Confeiteiro;1;R$ 158,63;R$ 158,63;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012079154097/status?packId=2000012079154099&orderId=2000015587650058
17/03/2026;2000015587644348;2000012079154097;Rolo Acetato Transparente 7cm 142m Planeta Confeiteiro;1;R$ 158,63;R$ 158,63;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012079154095/status?packId=2000012079154097&orderId=2000015587644348
17/03/2026;2000015589636716;;Rodo Vedador Para Porta Protege Contra Sujeira, Água Alumínio 90cm;1;R$ 19,00;R$ 19,00;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015589636716/status?orderId=2000015589636716
17/03/2026;2000015593800184;2000012086397137;Forma Alumínio Ballerine Coelho Correndo 20x18x5cm 1518 Capa;4;R$ 241,40;R$ 241,40;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012086397135/status?packId=2000012086397137&orderId=2000015593800184
17/03/2026;2000015593945454;2000012086564829;10 Caixas Vitrine M  Bolos Doces Confeitaria Cupcake Branco;20;R$ 976,00;R$ 976,00;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012086564827/status?packId=2000012086564829&orderId=2000015593945454
17/03/2026;2000015593955506;2000012086589917;Forma Ballerine Coelho Correndo Pascoa 20x18x5cm - 1 Unidade Cinza;5;R$ 190,00;R$ 190,00;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012086589915/status?packId=2000012086589917&orderId=2000015593955506
17/03/2026;2000015593956798;;Forma Ballerine Coelho Correndo Páscoa 20x18x5cm Alumínio Cinza;1;R$ 48,90;R$ 48,90;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015593956798/status?orderId=2000015593956798
